metric,duration_hours,mean_difference_B_E_minus_B_N,ci95_low,ci95_high,replications,incident_zone_scenarios,sampled_node
nonincident_zone_mean_response_min,7.142241379310345,0.011423716828017936,-0.014994079486086657,0.03784151314212253,9,10,False
nonincident_zone_mean_response_min,7.241379310344827,0.008238487514858327,-0.020330425200990397,0.03680740023070705,9,10,False
nonincident_zone_mean_response_min,7.3405172413793105,0.005122363871502032,-0.026012132375486323,0.036256860118490386,9,10,False
nonincident_zone_mean_response_min,7.439655172413794,0.00213599293234845,-0.031776712244279,0.0360486981089759,9,10,False
nonincident_zone_mean_response_min,7.538793103448276,-0.0006599782682030085,-0.03738462031099609,0.036064663774590076,9,10,False
nonincident_zone_mean_response_min,7.637931034482759,-0.003204902695753001,-0.04262210653053628,0.03621230113903028,9,10,False
nonincident_zone_mean_response_min,7.737068965517242,-0.005438133315902097,-0.047297334053323745,0.03642106742151954,9,10,False
nonincident_zone_mean_response_min,7.836206896551724,-0.00729902309425094,-0.05123533886932426,0.03663729268082237,9,10,False
nonincident_zone_mean_response_min,7.935344827586207,-0.00872692499640016,-0.05427384767945474,0.03681999768665442,9,10,False
nonincident_zone_mean_response_min,8.0,-0.009396006651756513,-0.055697911807407956,0.036905898503894925,9,10,True
nonincident_zone_mean_response_min,8.03448275862069,-0.009695572774810288,-0.056321269619464556,0.036930124069843986,9,10,False
nonincident_zone_mean_response_min,8.133620689655173,-0.010575461319747478,-0.058015760404341025,0.036864837764846066,9,10,False
nonincident_zone_mean_response_min,8.232758620689655,-0.011482158033701267,-0.05958934422156087,0.03662502815415834,9,10,False
nonincident_zone_mean_response_min,8.331896551724139,-0.01241458298614134,-0.061074430376074726,0.03624526440379204,9,10,False
nonincident_zone_mean_response_min,8.431034482758621,-0.013371656246537345,-0.06250372687057187,0.03576041437749719,9,10,False
nonincident_zone_mean_response_min,8.530172413793103,-0.014352297884358968,-0.06390845957728748,0.03520386380856955,9,10,False
nonincident_zone_mean_response_min,8.629310344827587,-0.0153554279690759,-0.06531680092998338,0.03460594499183158,9,10,False
nonincident_zone_mean_response_min,8.72844827586207,-0.01637996657015779,-0.06675249936410156,0.03399256622378599,9,10,False
nonincident_zone_mean_response_min,8.827586206896552,-0.01742483375707432,-0.0682337497293423,0.033384082215193664,9,10,False
