incident_zone,duration_hours,metric,B_N_mean,B_E_mean,mean_difference_B_E_minus_B_N,ci95_low,ci95_high,replications
10,11.0,p95_response_min,10.178070751708198,10.189465065728859,0.011394314020660979,-0.16505355290421345,0.18784218094553543,10
10,12.0,p95_response_min,10.564805259732834,10.745546508655643,0.18074124892280788,-0.05043586704492964,0.4119183648905454,10
1,0.5,strict_4min_rate,0.4329004329004329,0.4329004329004329,0.0,0.0,0.0,10
1,1.0,strict_4min_rate,0.4115567765567765,0.4115567765567765,0.0,0.0,0.0,10
1,2.0,strict_4min_rate,0.23666517641622828,0.23281902257007445,-0.003846153846153849,-0.012546758318454643,0.004854450626146946,10
1,4.0,strict_4min_rate,0.18531696684683294,0.18531696684683294,0.0,0.0,0.0,10
1,5.0,strict_4min_rate,0.17453449619073874,0.1764212886435689,0.0018867924528301826,-0.00238142860905321,0.006155013514713575,10
1,6.0,strict_4min_rate,0.16300016777859735,0.16601604079447035,0.0030158730158729996,-0.0015402470744203594,0.007571993106166359,10
1,8.0,strict_4min_rate,0.1668539939399507,0.17136532603885715,0.004511332098906448,-0.0033173426212696087,0.012340006819082504,10
1,10.0,strict_4min_rate,0.23202807875909942,0.23017337790439857,-0.0018547008547008497,-0.004662492683333984,0.0009530909739322842,10
1,11.0,strict_4min_rate,0.2234667520214367,0.22441935892048784,0.0009526068990511422,-0.00469008512151874,0.006595298919621025,10
1,12.0,strict_4min_rate,0.22408825911402874,0.22481837957454132,0.0007301204605126177,-0.0066430314497621665,0.008103272370787402,10
2,0.5,strict_4min_rate,0.4773448773448774,0.4773448773448774,0.0,0.0,0.0,9
2,1.0,strict_4min_rate,0.4077984515484515,0.4168893606393606,0.009090909090909089,-0.011474156025438218,0.029655974207256394,10
2,2.0,strict_4min_rate,0.29196122717861844,0.3101278938452851,0.01816666666666667,-0.005721248032457878,0.042054581365791224,10
2,4.0,strict_4min_rate,0.3065649553281411,0.3114345498830904,0.004869594554949244,-0.00634132417733836,0.01608051328723685,10
2,5.0,strict_4min_rate,0.3243706019771889,0.3243706019771889,0.0,0.0,0.0,10
2,6.0,strict_4min_rate,0.30574117529620154,0.30574117529620154,0.0,0.0,0.0,10
2,8.0,strict_4min_rate,0.2750510551993807,0.28022921037753595,0.00517815517815517,-0.0037890312352331663,0.014145341591543506,10
2,10.0,strict_4min_rate,0.34242161553117784,0.3480149911718596,0.005593375640681719,-0.0018505837589021384,0.013037335040265576,10
2,11.0,strict_4min_rate,0.3593536154789682,0.3622667807450747,0.002913165266106449,-0.0017977322417047905,0.007624062773917689,10
2,12.0,strict_4min_rate,0.34043126829559994,0.33959030719720174,-0.0008409610983981741,-0.004336816673322088,0.0026548944765257395,10
3,0.5,strict_4min_rate,0.3518117684784351,0.3888488055154722,0.037037037037037035,-0.048370523526080206,0.12244459760015428,9
3,1.0,strict_4min_rate,0.28738636363636366,0.28738636363636366,0.0,0.0,0.0,10
3,2.0,strict_4min_rate,0.21956458477110646,0.21956458477110646,0.0,0.0,0.0,10
3,4.0,strict_4min_rate,0.2098754498846036,0.2115703651388409,0.0016949152542372892,-0.0021392494284715345,0.005529079936946113,10
3,5.0,strict_4min_rate,0.20627583864688442,0.20806155293259865,0.0017857142857142904,-0.002253852076425372,0.005825280647853953,10
3,6.0,strict_4min_rate,0.18898588180237846,0.1905987850281849,0.00161290322580645,-0.0020357373593519416,0.005261543810964842,10
3,8.0,strict_4min_rate,0.1902539256645984,0.19291237636882375,0.0026584507042253596,-0.0013596633026075528,0.0066765647110582724,10
3,10.0,strict_4min_rate,0.24619430051476715,0.24833830418365038,0.002144003668883282,-0.001094056121116238,0.005382063458882802,10
3,11.0,strict_4min_rate,0.2471892094330123,0.25202042397423885,0.004831214541226506,0.0011695526593471063,0.008492876423105904,10
3,12.0,strict_4min_rate,0.2502016678998378,0.25203653028515893,0.001834862385321101,-0.0023158847023820274,0.005985609473024229,10
4,0.5,strict_4min_rate,0.5253086419753087,0.5253086419753087,0.0,0.0,0.0,9
4,1.0,strict_4min_rate,0.545795177045177,0.545795177045177,0.0,0.0,0.0,10
4,2.0,strict_4min_rate,0.35537875625518645,0.34485244046571273,-0.010526315789473684,-0.03433849645050741,0.013285864871560046,10
4,4.0,strict_4min_rate,0.3888364845686107,0.39063332370560333,0.0017968391369925952,-0.00876747943805525,0.012361157712040442,10
4,5.0,strict_4min_rate,0.3525857518545733,0.3525857518545733,0.0,0.0,0.0,10
4,6.0,strict_4min_rate,0.3339324473668327,0.3314204856443447,-0.002511961722488032,-0.010017661586246776,0.0049937381412707114,10
4,8.0,strict_4min_rate,0.3381756784692195,0.33541758082717754,-0.0027580976420418955,-0.02305960644470547,0.017543411160621677,10
4,10.0,strict_4min_rate,0.3920796136980862,0.39453369379444275,0.0024540800963565148,-0.0012470168759368665,0.006155177068649896,10
4,11.0,strict_4min_rate,0.4238885801290161,0.42493721671067847,0.0010486365816623933,-0.008905651037465566,0.011002924200790354,10
4,12.0,strict_4min_rate,0.3889183790750052,0.4021828037508053,0.013264424675800102,-0.0002887440966087909,0.026817593448208995,10
5,0.5,strict_4min_rate,0.49166666666666675,0.47777777777777786,-0.013888888888888888,-0.04591672410005786,0.01813894632228008,9
5,1.0,strict_4min_rate,0.5031364468864469,0.5031364468864469,0.0,0.0,0.0,10
5,2.0,strict_4min_rate,0.2993947426842164,0.2993947426842164,0.0,0.0,0.0,10
