mode,incident_zone,duration_hours,start_hour,seed,call_digest,calls,mean_response_min,p95_response_min,strict_4min_rate,mean_wait_min,mean_delay_penalty_yuan_per_call,incident_zone_calls,incident_zone_mean_response_min,incident_zone_p95_response_min,incident_zone_strict_4min_rate,incident_zone_mean_wait_min,incident_zone_mean_delay_penalty_yuan_per_call,nonincident_zone_calls,nonincident_zone_mean_response_min,nonincident_zone_p95_response_min,nonincident_zone_strict_4min_rate,nonincident_zone_mean_wait_min,nonincident_zone_mean_delay_penalty_yuan_per_call,max_incident_queue,incident_end_backlog,max_daily_dispatches_per_ambulance
B_N,10,1.0,17.5,600004,754581dbe83383dad1b64e6f6bdc6d33c9ad4ce08e57003ca4330b6fdf0d2f36,6,7.139934098657751,8.324956050772323,0.0,0.0,627.9868197315503,2,7.216370213557839,7.216370213557839,0.0,0.0,643.2740427115679,4,7.101716041207707,8.39396329745948,0.0,0.0,620.3432082415416,1,0,12
B_E,10,1.0,17.5,600005,226278f23554d3afdfa715fa7b2a8b0f74b182955ff0e83b68c2e093d246f877,14,9.02167422184906,17.391848552288316,0.0714285714285714,1.2785224693642314,1018.6205586555268,5,11.606372427676238,18.329935908703053,0.0,1.4754613732206052,1521.2744855352475,9,7.585730774167298,13.240486410105962,0.1111111111111111,1.169111967221801,739.3683770556814,2,0,12
B_N,10,1.0,17.5,600005,226278f23554d3afdfa715fa7b2a8b0f74b182955ff0e83b68c2e093d246f877,14,9.02167422184906,17.391848552288316,0.0714285714285714,1.2785224693642314,1018.6205586555268,5,11.606372427676238,18.329935908703053,0.0,1.4754613732206052,1521.2744855352475,9,7.585730774167298,13.240486410105962,0.1111111111111111,1.169111967221801,739.3683770556814,2,0,12
B_E,10,1.0,17.5,600006,d3120386c8a13181d43bb9b0aa1d817f54c57676132ed6a5fd1950a1d78a29e4,7,4.558484285334374,7.630092254500408,0.5714285714285714,0.0,225.98257135258908,1,7.216370213557839,7.216370213557839,0.0,0.0,643.2740427115679,6,4.11550329729713,7.076955796255021,0.6666666666666666,0.0,156.4339927927593,1,0,12
B_N,10,1.0,17.5,600006,d3120386c8a13181d43bb9b0aa1d817f54c57676132ed6a5fd1950a1d78a29e4,7,4.558484285334374,7.630092254500408,0.5714285714285714,0.0,225.98257135258908,1,7.216370213557839,7.216370213557839,0.0,0.0,643.2740427115679,6,4.11550329729713,7.076955796255021,0.6666666666666666,0.0,156.4339927927593,1,0,12
B_E,10,1.0,17.5,600007,affe10e3aeefa29366a4556e87e016fb407b3d34bff48211038c4a5e220013ab,2,3.942809041582064,4.791337179005921,0.5,0.0,88.56180831641271,0,,,,,,2,3.942809041582064,4.791337179005921,0.5,0.0,88.56180831641271,1,0,12
B_N,10,1.0,17.5,600007,affe10e3aeefa29366a4556e87e016fb407b3d34bff48211038c4a5e220013ab,2,3.942809041582064,4.791337179005921,0.5,0.0,88.56180831641271,0,,,,,,2,3.942809041582064,4.791337179005921,0.5,0.0,88.56180831641271,1,0,12
B_E,10,1.0,17.5,600008,d910c8692718bb53b2b3944a68a8ba4f583efda354abb3cedf8ea6ecdc2dcf18,2,3.0,3.0,1.0,0.0,0.0,0,,,,,,2,3.0,3.0,1.0,0.0,0.0,1,0,12
B_N,10,1.0,17.5,600008,d910c8692718bb53b2b3944a68a8ba4f583efda354abb3cedf8ea6ecdc2dcf18,2,3.0,3.0,1.0,0.0,0.0,0,,,,,,2,3.0,3.0,1.0,0.0,0.0,1,0,12
B_E,10,1.0,17.5,600009,b81854d2598655eb778e4da6b17af39e5db3435b3ba42747e0ac33af7b6eb944,6,4.016998049453661,6.633682180959411,0.6666666666666666,0.0,136.73294322406556,0,,,,,,6,4.016998049453661,6.633682180959411,0.6666666666666666,0.0,136.73294322406556,1,0,12
B_N,10,1.0,17.5,600009,b81854d2598655eb778e4da6b17af39e5db3435b3ba42747e0ac33af7b6eb944,6,4.016998049453661,6.633682180959411,0.6666666666666666,0.0,136.73294322406556,0,,,,,,6,4.016998049453661,6.633682180959411,0.6666666666666666,0.0,136.73294322406556,1,0,12
B_E,10,2.0,17.0,600000,90e60ca1c6688300f88bdb07496868ad0082866e787c03405e16ee19b06d2e01,20,6.738049138629668,10.39813608524763,0.3,0.1867875015119352,607.6098277259337,2,8.995486370009122,10.596690910815274,0.0,0.0,999.0972740018242,18,6.487222779587507,9.975209141074908,0.3333333333333333,0.2075416683465947,564.1112225841678,1,0,12
B_N,10,2.0,17.0,600000,90e60ca1c6688300f88bdb07496868ad0082866e787c03405e16ee19b06d2e01,20,6.738049138629668,10.39813608524763,0.3,0.1867875015119352,607.6098277259337,2,8.995486370009122,10.596690910815274,0.0,0.0,999.0972740018242,18,6.487222779587507,9.975209141074908,0.3333333333333333,0.2075416683465947,564.1112225841678,1,0,12
B_E,10,2.0,17.0,600001,53039db96ff5286b0fdfdd77c9c0ed2939dd63dd3afe33cfb3cb452f40c58baa,16,5.566745485799329,8.61381761061752,0.375,0.0,388.3490971598658,3,7.413380709244777,7.748298551912571,0.0,0.0,682.6761418489554,13,5.140598895773456,8.683623676493903,0.4615384615384615,0.0,320.4274714623835,1,0,12
B_N,10,2.0,17.0,600001,53039db96ff5286b0fdfdd77c9c0ed2939dd63dd3afe33cfb3cb452f40c58baa,16,5.566745485799329,8.61381761061752,0.375,0.0,388.3490971598658,3,7.413380709244777,7.748298551912571,0.0,0.0,682.6761418489554,13,5.140598895773456,8.683623676493903,0.4615384615384615,0.0,320.4274714623835,1,0,12
B_E,10,2.0,17.0,600002,a71220e066bcb652324bf4e3ec03a0fbd23c8521a609b69f8099d64751a1033b,16,5.655554427068149,7.8074017006186525,0.25,0.0,381.1108854136298,1,7.216370213557839,7.216370213557839,0.0,0.0,643.2740427115679,15,5.551500041302171,7.8074017006186525,0.2666666666666666,0.0,363.6333415937673,1,0,12
B_N,10,2.0,17.0,600002,a71220e066bcb652324bf4e3ec03a0fbd23c8521a609b69f8099d64751a1033b,16,5.655554427068149,7.8074017006186525,0.25,0.0,381.1108854136298,1,7.216370213557839,7.216370213557839,0.0,0.0,643.2740427115679,15,5.551500041302171,7.8074017006186525,0.2666666666666666,0.0,363.6333415937673,1,0,12
