incident_zone,duration_hours,start_hour,metric,mean_difference_B_E_minus_B_N,ci95_low,ci95_high,replications
9,6.0,14.983333333333333,p95_response_min,-0.08326230823728249,-0.26772719995919125,0.10120258348462625,10
9,8.0,13.883333333333333,p95_response_min,-0.5124444891114667,-1.6716744606914378,0.6467854824685043,10
9,10.0,10.266666666666666,p95_response_min,0.1270505796951628,-0.23977003579655792,0.49387119518688355,10
9,11.0,8.7,p95_response_min,-0.5453451682329563,-1.6513548594322551,0.5606645229663424,10
9,12.0,8.05,p95_response_min,-0.16731681312804286,-0.5458137404022139,0.21118011414612808,10
10,0.5,17.75,p95_response_min,0.0,0.0,0.0,9
10,1.0,17.5,p95_response_min,0.0,0.0,0.0,10
10,2.0,17.0,p95_response_min,0.09938136242999854,-0.12543489843966704,0.3241976232996641,10
10,4.0,16.0,p95_response_min,0.0,0.0,0.0,10
10,5.0,15.483333333333333,p95_response_min,0.0,0.0,0.0,10
10,6.0,14.983333333333333,p95_response_min,0.07628964567833982,-0.09628952274025371,0.24886881409693334,10
10,8.0,13.883333333333333,p95_response_min,-0.5333113062990696,-1.6983335815558958,0.6317109689577564,10
10,10.0,10.266666666666666,p95_response_min,0.10623714848789367,-0.1170942377707288,0.32956853474651615,10
10,11.0,8.7,p95_response_min,0.011394314020660979,-0.16505355290421345,0.18784218094553543,10
10,12.0,8.05,p95_response_min,0.18074124892280788,-0.05043586704492964,0.4119183648905454,10
1,0.5,17.75,strict_4min_rate,0.0,0.0,0.0,10
1,1.0,17.5,strict_4min_rate,0.0,0.0,0.0,10
1,2.0,17.0,strict_4min_rate,-0.003846153846153849,-0.012546758318454643,0.004854450626146946,10
1,4.0,16.0,strict_4min_rate,0.0,0.0,0.0,10
1,5.0,15.483333333333333,strict_4min_rate,0.0018867924528301826,-0.00238142860905321,0.006155013514713575,10
1,6.0,14.983333333333333,strict_4min_rate,0.0030158730158729996,-0.0015402470744203594,0.007571993106166359,10
1,8.0,13.883333333333333,strict_4min_rate,0.004511332098906448,-0.0033173426212696087,0.012340006819082504,10
1,10.0,10.266666666666666,strict_4min_rate,-0.0018547008547008497,-0.004662492683333984,0.0009530909739322842,10
1,11.0,8.7,strict_4min_rate,0.0009526068990511422,-0.00469008512151874,0.006595298919621025,10
1,12.0,8.05,strict_4min_rate,0.0007301204605126177,-0.0066430314497621665,0.008103272370787402,10
2,0.5,17.75,strict_4min_rate,0.0,0.0,0.0,9
2,1.0,17.5,strict_4min_rate,0.009090909090909089,-0.011474156025438218,0.029655974207256394,10
2,2.0,17.0,strict_4min_rate,0.01816666666666667,-0.005721248032457878,0.042054581365791224,10
2,4.0,16.0,strict_4min_rate,0.004869594554949244,-0.00634132417733836,0.01608051328723685,10
2,5.0,15.483333333333333,strict_4min_rate,0.0,0.0,0.0,10
2,6.0,14.983333333333333,strict_4min_rate,0.0,0.0,0.0,10
2,8.0,13.883333333333333,strict_4min_rate,0.00517815517815517,-0.0037890312352331663,0.014145341591543506,10
2,10.0,10.266666666666666,strict_4min_rate,0.005593375640681719,-0.0018505837589021384,0.013037335040265576,10
2,11.0,8.7,strict_4min_rate,0.002913165266106449,-0.0017977322417047905,0.007624062773917689,10
2,12.0,8.05,strict_4min_rate,-0.0008409610983981741,-0.004336816673322088,0.0026548944765257395,10
3,0.5,17.75,strict_4min_rate,0.037037037037037035,-0.048370523526080206,0.12244459760015428,9
3,1.0,17.5,strict_4min_rate,0.0,0.0,0.0,10
3,2.0,17.0,strict_4min_rate,0.0,0.0,0.0,10
3,4.0,16.0,strict_4min_rate,0.0016949152542372892,-0.0021392494284715345,0.005529079936946113,10
3,5.0,15.483333333333333,strict_4min_rate,0.0017857142857142904,-0.002253852076425372,0.005825280647853953,10
3,6.0,14.983333333333333,strict_4min_rate,0.00161290322580645,-0.0020357373593519416,0.005261543810964842,10
3,8.0,13.883333333333333,strict_4min_rate,0.0026584507042253596,-0.0013596633026075528,0.0066765647110582724,10
3,10.0,10.266666666666666,strict_4min_rate,0.002144003668883282,-0.001094056121116238,0.005382063458882802,10
3,11.0,8.7,strict_4min_rate,0.004831214541226506,0.0011695526593471063,0.008492876423105904,10
3,12.0,8.05,strict_4min_rate,0.001834862385321101,-0.0023158847023820274,0.005985609473024229,10
4,0.5,17.75,strict_4min_rate,0.0,0.0,0.0,9
4,1.0,17.5,strict_4min_rate,0.0,0.0,0.0,10
4,2.0,17.0,strict_4min_rate,-0.010526315789473684,-0.03433849645050741,0.013285864871560046,10
4,4.0,16.0,strict_4min_rate,0.0017968391369925952,-0.00876747943805525,0.012361157712040442,10
4,5.0,15.483333333333333,strict_4min_rate,0.0,0.0,0.0,10
4,6.0,14.983333333333333,strict_4min_rate,-0.002511961722488032,-0.010017661586246776,0.0049937381412707114,10
4,8.0,13.883333333333333,strict_4min_rate,-0.0027580976420418955,-0.02305960644470547,0.017543411160621677,10
4,10.0,10.266666666666666,strict_4min_rate,0.0024540800963565148,-0.0012470168759368665,0.006155177068649896,10
