duration_hours,external_count,replications,mean_response_min_n,mean_response_min_mean,mean_response_min_ci95_low,mean_response_min_ci95_high,cumulative_response_gain_min_n,cumulative_response_gain_min_mean,cumulative_response_gain_min_ci95_low,cumulative_response_gain_min_ci95_high,marginal_response_gain_min_n,marginal_response_gain_min_mean,marginal_response_gain_min_ci95_low,marginal_response_gain_min_ci95_high,total_delay_penalty_yuan_n,total_delay_penalty_yuan_mean,total_delay_penalty_yuan_ci95_low,total_delay_penalty_yuan_ci95_high,avoided_penalty_yuan_n,avoided_penalty_yuan_mean,avoided_penalty_yuan_ci95_low,avoided_penalty_yuan_ci95_high,avoided_penalty_per_vehicle_yuan_n,avoided_penalty_per_vehicle_yuan_mean,avoided_penalty_per_vehicle_yuan_ci95_low,avoided_penalty_per_vehicle_yuan_ci95_high,marginal_break_even_cost_yuan_n,marginal_break_even_cost_yuan_mean,marginal_break_even_cost_yuan_ci95_low,marginal_break_even_cost_yuan_ci95_high,external_dispatches_n,external_dispatches_mean,external_dispatches_ci95_low,external_dispatches_ci95_high,incident_zone_scenarios
8.0,2,10,10,7.92904139611192,5.321906037349166,10.536176754874674,10,20.67401216537507,15.453174084902155,25.894850245847987,10,6.250421489731714,3.9560348083399894,8.544808171123439,10,77565.7417093932,18547.992831196825,136583.49058758956,10,355428.85101286386,238264.5254192858,472593.1766064419,10,177714.42550643193,119132.2627096429,236296.58830322095,10,111988.36214020257,61001.27668603117,162975.44759437398,10,17.020000000000003,16.00004832568603,18.039951674313976,10
8.0,3,10,10,5.824376786768424,4.712215671913157,6.936537901623691,10,22.77867677471857,16.10311725932116,29.45423629011598,10,2.104664609343495,0.5823252267242369,3.627003991962753,10,38128.44178057026,12440.980664664814,63815.90289647571,10,394866.1509416868,244806.36772253466,544925.934160839,10,131622.05031389557,81602.12257417818,181641.97805361295,10,39437.29992882295,5776.395063846918,73098.20479379897,10,22.880000000000003,21.574465480454354,24.18553451954565,10
8.0,4,10,10,5.102182205218652,4.658263108396133,5.546101302041171,10,23.50087135626834,16.178782706938662,30.82296000559802,10,0.7221945815497721,0.020857114266550236,1.423532048832994,10,24638.35016949794,14657.663540601532,34619.03679839434,10,408356.2425527592,243089.74725322166,573622.7378522967,10,102089.0606381898,60772.436813305416,143405.68446307417,10,13490.091611072325,-2535.0828903505953,29515.266112495243,10,27.85,26.251035512561877,29.448964487438126,10
8.0,5,10,10,4.808225609082027,4.571039878832977,5.045411339331077,10,23.79482795240496,16.257638794329047,31.332017110480876,10,0.2939565961366256,0.058582222685869184,0.529330969587382,10,19427.07780773561,14419.994483981473,24434.161131489753,10,413567.5149145214,243356.1643241765,583778.8655048663,10,82713.50298290429,48671.2328648353,116755.77310097328,10,5211.272361762329,-15.669653447580458,10438.214376972239,10,31.840000000000003,29.980010903865306,33.6999890961347,10
8.0,6,10,10,4.6910455076353825,4.5099546792379375,4.872136336032828,10,23.912008053851608,16.295379623668026,31.52863648403519,10,0.11718010144664397,0.031839604213799055,0.20252059867948888,10,17469.11996010644,13977.213867072627,20961.026053140253,10,415525.4727621506,243640.24279697196,587410.7027273292,10,69254.24546035843,40606.70713282866,97901.78378788821,10,1957.9578476291686,226.50784445374052,3689.407850804597,10,34.809999999999995,32.507125983524105,37.112874016475885,10
10.0,0,10,10,24.415532277763084,16.538644089133218,32.292420466392954,10,0.0,0.0,0.0,0,,,,10,443096.36513395107,253211.19379216334,632981.5364757387,10,0.0,0.0,0.0,0,,,,0,,,,10,0.0,0.0,0.0,10
10.0,1,10,10,11.562273880034603,7.039078324810843,16.08546943525836,10,12.853258397728476,9.370428419321051,16.3360883761359,10,12.853258397728476,9.370428419321051,16.3360883761359,10,173614.15982870903,62865.29976536636,284363.0198920517,10,269482.20530524204,187832.73265141246,351131.6779590716,10,269482.20530524204,187832.73265141246,351131.6779590716,10,269482.20530524204,187832.73265141246,351131.6779590716,10,10.419999999999998,10.107636585758298,10.732363414241698,10
10.0,2,10,10,6.698780879440141,4.675792747044764,8.72176901183552,10,17.71675139832294,11.75942780492931,23.674074991716573,10,4.863493000594462,2.3330463777149903,7.393939623473934,10,66386.49632145555,15098.794915372026,117674.19772753907,10,376709.8688124955,235920.52704332265,517499.2105816683,10,188354.93440624775,117960.26352166133,258749.60529083415,10,107227.66350725348,47099.90856410823,167355.41845039875,10,19.04,18.399987624856177,19.68001237514382,10
10.0,3,10,10,5.264330674417484,4.4956987110184015,6.032962637816566,10,19.151201603345594,11.983241113238625,26.31916209345256,10,1.4344502050226589,0.161213704956239,2.7076867050890785,10,34300.485747910236,14558.089156351325,54042.88233946914,10,408795.8793860409,237565.27983710938,580026.4789349724,10,136265.2931286803,79188.42661236977,193342.1596449908,10,32086.010573545318,267.8684355985861,63904.15271149205,10,25.889999999999997,24.879766773797602,26.900233226202392,10
10.0,4,10,10,4.759385321088116,4.5188275406164555,4.999943101559777,10,19.656146956674966,11.948688388633144,27.36360552471679,10,0.5049453533293676,-0.08476970271074602,1.0946604093694812,10,23086.642146583163,17503.206856008284,28670.07743715804,10,420009.72298736795,234922.833823052,605096.6121516839,10,105002.43074684199,58730.708455763,151274.15303792097,10,11213.84360132707,-3775.3983557226256,26203.085558376762,10,31.18,29.89465582763728,32.46534417236272,10
10.0,5,10,10,4.601750833071843,4.435417273533763,4.768084392609922,10,19.81378144469124,12.012613416162534,27.614949473219948,10,0.1576344880162721,0.06014657815252607,0.25512239788001817,10,19904.460728072147,16368.842765479636,23440.078690664657,10,423191.904405879,235803.7883287333,610580.0204830247,10,84638.38088117578,47160.75766574664,122116.00409660491,10,3182.1814185110143,821.5975589551326,5542.765278066896,10,35.14,33.49547414935749,36.78452585064251,10
